client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
184cb4d570c6c8ed1de5cbd2efeae921de818db23178ab299e2a5eff47a84c33ada506b2f77b3804bcbb417b8df614a1ae8542f102ae4f13ba7ca0d57db0a845	common_voice_sw_32195361.mp3	Chuza vyema	2	1				sw	
1cc634ad9e9493ddcb81222bfc9c4703bbf19e38a2cbfe76d05b0e313cd299baafae80773133f732b885f1bf8c33edad08bd531e917a70f38f345bb416853cf6	common_voice_sw_32366407.mp3	Watoto watukutu wamfuja mimeangwa	2	0				sw	
29beef8989fd406aa6780bb17280677e2715a80ad79fea3df97ce21c0e6de016e12d9da6155d8c45e914155c1dc559bc9fcba3a6c696837ad37180ffa551bf2d	common_voice_sw_31855477.mp3	Biashara ni biashara	2	0	twenties	male		sw	
2e24be12bc19f0679eadc7c2a4dbf730107935541223fc3a56b577217a5c1439dc6cc0143168b115feb42cf19574fa6fd99d3124144d8abacf6aad93526f3422	common_voice_sw_32436632.mp3	Hachufungi idirisha la mwisho.	2	0				sw	
35c7da0a1c2aff40b03ad51ca6421fd4d797ab3dbfd7ffca5d08696495b92fec1edba1023f01f413ad33ca040635a1fd03d77976c0918de591a8b4d2c9fe6ae2	common_voice_sw_31855552.mp3	Ni kama hapa ukimwambia mtu twenda kubaua hatajua kwenda kubauwa ni nini	2	0	twenties	female		sw	
4e3147f50714c4131661300c6027c493fdbc45a7e6b750bddf596c0f6be59fa1890a2b1dad84cbd2dbde12026887f444e3e47002258e7861770813da61a29e7f	common_voice_sw_32276912.mp3	Kitotoro cha hapo kin'jaa maji	2	0				sw	
4fe6974e93db06e39211066366a14a80c728d9b68ac77405006695b1f74a24c6a0d5134292d193a1a5d94b1d3cc1506c7067b38c43ee1e5b5e69cfa55f57a446	common_voice_sw_31937937.mp3	Wingu limefunga.	2	0	thirties	male		sw	
536bc712493873ef429a4afc0e4a66d77c5a0b24ceba7f49423736182420c66393f36a3ee59c85b6c0da092257758acd33e554d7cfd95cdc4d805405bd4225f0	common_voice_sw_32100186.mp3	Kuku wanga kanaata mayai maili	2	0	twenties	female		sw	
5c60cbe649988c92fdf2eaf38ac234af24d988b94b6bd940f2c94cd38a84a84029591b773e2879ddeebe21d0da8323f646001b783b115be04c27b7f32110bf2d	common_voice_sw_31855679.mp3	Hautakiwi kupandisha sauti yako juu.	2	0	twenties	male		sw	
6eb41ce3e47081561781a88456c74dc2c663ced346975fbeb5d5ee8b56ff87a78c40074a9b501e80a3e2243ef2735671ee04933f1878ad19fe9535b6cb5890eb	common_voice_sw_32210413.mp3	Msichana mzuri sana	2	1				sw	
7eb76dbe1881988a88787b45980c04355827e06a493447b0abdc561891a09628e96a16295e77e790b12d5ef0bf90f97cdfa4ea48e8beca02afa5f4f157ad93e0	common_voice_sw_31892988.mp3	Sio wachu wa kwechu waloichwa	2	0				sw	
8e4128e1a11e5602216ec7a2950565dca3a83ded200762da58d4a957348d920a096d16a9e313618572cbea4edd49c1b0e6ac57f7a43d0ab9920d795a34b29d66	common_voice_sw_32223672.mp3	Polisi wanajaribu mitambo yao	2	0	twenties	male		sw	
8fad7450d3ffb01078dc5f9b85ad1c2fb51b26872d5667c9173afe70a6d1e21f907a167d9dcfa674eb45a0702e8f26b49e73fccb3a5b84cc0f3f3d6a9ea9cdd0	common_voice_sw_31855760.mp3	"Imani ni kuamini, huruma ni huruma"	2	0	twenties	male		sw	
944c9ba9fa29ff6c0776011150c02dda9bf4f1cb85fbc2f5fe03025383498590dd19f4efa5f299a29bb8fd47de263c68f344abcd3356118c8bb79286f2c3fca2	common_voice_sw_32312025.mp3	Dhamani chulikua chukipadha kwenye nchambo wa fulani.	2	0				sw	
971976a41331d2e2a78907f78d1538c268d1a8d7e67eebd57a495b6cc1309074ea9636ea697ded07b60df4a40605c2ad169d27055e2c0782fd9ebaef62d1ee1a	common_voice_sw_31854837.mp3	Kanacheka kweli.	2	0				sw	
974e391eec6d1be6307a037857befb01cdce2171a2ef3ed4f804904d01b04a32806d4121182d6aad89fd85675ca3faa1046d5a70edb32331c4f1fbc6e673abf1	common_voice_sw_31855849.mp3	"Kitambulisho,kadi"	2	0	twenties	male		sw	
a03941260dffe77d2264fc6374c8ed6b44a5a9301ed62d107cdde89c5c6e611f242261c83c8b79534ed1f16c225d1655caed3c6d556f3766c3b1c879f9ad6f74	common_voice_sw_32366439.mp3	Yana chulipika kiadhi tamu	5	1				sw	
